[0/10000], step:201, r:0.0, eps:0.998
[1/10000], step:323, r:0.0, eps:0.997
[2/10000], step:495, r:0.0, eps:0.996
[3/10000], step:700, r:0.0, eps:0.994
[4/10000], step:834, r:0.0, eps:0.993
[5/10000], step:1035, r:0.0, eps:0.991
[6/10000], step:1173, r:0.0, eps:0.99
[7/10000], step:1427, r:0.0, eps:0.987
[8/10000], step:1597, r:0.0, eps:0.986
[9/10000], step:1905, r:0.0, eps:0.983
[10/10000], step:2137, r:0.0, eps:0.981
[11/10000], step:2267, r:0.0, eps:0.98
[12/10000], step:2480, r:0.0, eps:0.978
[13/10000], step:2682, r:0.0, eps:0.976
[14/10000], step:2931, r:0.0, eps:0.974
[15/10000], step:3055, r:0.0, eps:0.973
[16/10000], step:3209, r:0.0, eps:0.972
[17/10000], step:3339, r:0.0, eps:0.97
[18/10000], step:3477, r:0.0, eps:0.969
[19/10000], step:3648, r:0.0, eps:0.968
[20/10000], step:3781, r:0.0, eps:0.967
[21/10000], step:3986, r:0.0, eps:0.965
[22/10000], step:4243, r:0.0, eps:0.963
[23/10000], step:4452, r:0.0, eps:0.961
[24/10000], step:4587, r:0.0, eps:0.96
[25/10000], step:4803, r:0.0, eps:0.958
[26/10000], step:4942, r:0.0, eps:0.957
[27/10000], step:5151, r:0.0, eps:0.955
[28/10000], step:5363, r:0.0, eps:0.953
[29/10000], step:5631, r:0.0, eps:0.951
[30/10000], step:5963, r:0.0, eps:0.948
[31/10000], step:6173, r:0.0, eps:0.946
[32/10000], step:6425, r:0.0, eps:0.944
[33/10000], step:6601, r:0.0, eps:0.943
[34/10000], step:6758, r:0.0, eps:0.941
[35/10000], step:6974, r:0.0, eps:0.939
[36/10000], step:7113, r:0.0, eps:0.938
[37/10000], step:7365, r:0.0, eps:0.936
[38/10000], step:7492, r:0.0, eps:0.935
[39/10000], step:7689, r:0.0, eps:0.933
[40/10000], step:7903, r:0.0, eps:0.932
[41/10000], step:8088, r:0.0, eps:0.93
[42/10000], step:8258, r:0.0, eps:0.929
[43/10000], step:8484, r:0.0, eps:0.927
[44/10000], step:8694, r:0.0, eps:0.925
[45/10000], step:8879, r:0.0, eps:0.924
[46/10000], step:9021, r:0.0, eps:0.922
[47/10000], step:9257, r:0.0, eps:0.92
[48/10000], step:9395, r:0.0, eps:0.919
[49/10000], step:9604, r:0.0, eps:0.918
[50/10000], step:9799, r:0.0, eps:0.916
[51/10000], step:9980, r:0.0, eps:0.915
[52/10000], step:10158, r:0.0, eps:0.913
[53/10000], step:10393, r:0.0, eps:0.911
[54/10000], step:10668, r:0.0, eps:0.909
[55/10000], step:10882, r:0.0, eps:0.907
[56/10000], step:11060, r:0.0, eps:0.906
[57/10000], step:11224, r:0.0, eps:0.904
[58/10000], step:11446, r:0.0, eps:0.903
[59/10000], step:11640, r:0.0, eps:0.901
[60/10000], step:11835, r:0.0, eps:0.9
[61/10000], step:12104, r:0.0, eps:0.897
[62/10000], step:12259, r:0.0, eps:0.896
[63/10000], step:12432, r:0.0, eps:0.895
[64/10000], step:12645, r:0.0, eps:0.893
[65/10000], step:12829, r:0.0, eps:0.892
[66/10000], step:13038, r:0.0, eps:0.89
[67/10000], step:13355, r:0.0, eps:0.887
[68/10000], step:13513, r:0.0, eps:0.886
